ds,yhat,yhat_lower,yhat_upper
2019-05-18,8.742123394975904e-05,5.0015805623613564e-05,0.00014639497725940818
2019-05-19,5.825388926434503e-05,3.360606636608307e-05,0.00010347598854255917
2019-05-20,6.14450930811114e-05,3.2652731515671786e-05,0.00010354153899751351
2019-05-21,8.533825648225013e-05,4.726094267246343e-05,0.00015243329850533793
2019-05-22,0.00010396830277338046,5.796273313444029e-05,0.00018181490265660254
2019-05-23,0.00023985408849934304,0.000137388504266216,0.0004085861970700413
2019-05-24,0.00016519266816249299,9.265774255162054e-05,0.0002842328401694309
2019-05-25,4.725186918173783e-05,2.1507445877344174e-05,0.00010335100102244838
2019-05-26,7.099036102976966e-05,4.200894351254804e-05,0.00012046199227637237
2019-05-27,0.0002110331643298572,0.00011718749390564783,0.000366474286023404
2019-05-28,0.00021203556834720387,0.00011985427153307628,0.00037575581281398986
2019-05-29,0.00013350540344236978,7.526439166114415e-05,0.00022469238619529105
2019-05-30,0.00010655794822020895,6.201059916865364e-05,0.00018766409826276542
2019-05-31,0.00016932277596182606,9.259893606461797e-05,0.0002898350615413956
2019-06-01,0.00011556653393257888,6.334148669044652e-05,0.00019503973018562275
2019-06-02,0.00013689439248693865,7.649731108316226e-05,0.0002450447550902008
2019-06-03,0.00018682485098210958,0.00010569491457820666,0.0003297942413054135
2019-06-04,7.960804189821213e-05,4.508075193292078e-05,0.00013965203272442523
2019-06-05,6.701670945005005e-05,3.694882472621562e-05,0.00011661447828052699
2019-06-06,0.00010997419528744289,5.988336833163076e-05,0.00019556170000691625
2019-06-07,0.00010026987304222351,5.76175103401504e-05,0.00018470655814990978
2019-06-08,0.00011643993325199294,6.737689731793851e-05,0.00019888025122571777
2019-06-09,7.847669303065595e-05,4.5177298739550145e-05,0.00013532410730346855
2019-06-10,0.00016408919548990375,9.398249553332219e-05,0.00030279352331006925
2019-06-11,8.732277277692119e-05,4.9781555186970293e-05,0.00014975271075701668
2019-06-12,0.0001266393511398332,7.023564655840785e-05,0.00021181755857124028
2019-06-13,0.00010732576547764265,6.181874371314101e-05,0.00018882532948573947
2019-06-14,0.00010874816680005938,6.28866015592331e-05,0.00019680734504838365
2019-06-15,4.975022397591927e-05,2.7636309343533564e-05,8.876354080686819e-05
2019-06-16,4.4398733152825305e-05,2.481150093389477e-05,7.696043186916429e-05
2019-06-17,9.391172456513517e-05,4.684363338334604e-05,0.0002124734257311595
2019-06-18,8.312078499977343e-05,4.737291981451362e-05,0.00014993773909754144
2019-06-19,8.259255795632518e-05,4.738840148026615e-05,0.0001480923237464097
2019-06-20,0.00012168341617344222,6.0354021391394175e-05,0.00023431795676692792
2019-06-21,0.0001219673309181555,7.2735901750305e-05,0.0002200222410475602
2019-06-22,0.00017048911976298123,9.495148533909574e-05,0.000293629405955712
2019-06-23,0.000121370017782953,6.910051203990577e-05,0.00021365682068825908
2019-06-24,0.00011786055612966622,6.836970099288342e-05,0.0002089928400320182
2019-06-25,7.028223624826993e-05,4.1469867207199476e-05,0.00012271752505237774
2019-06-26,0.00011612197697520266,6.786401798296334e-05,0.00020866584193499993
2019-06-27,0.00010459576356609312,5.88045948930272e-05,0.00019176188144863978
2019-06-28,0.0002263190106115605,0.00012756324752226454,0.0003921807644486398
2019-06-29,0.0001321795409466629,7.492355255297335e-05,0.00023429184704346962
2019-06-30,6.557413058268925e-05,3.6479209853430444e-05,0.00011233744873823492
2019-07-01,0.0001194685387961971,6.527713128614072e-05,0.00020593815735442468
2019-07-02,0.00011865530746306154,6.633165789372504e-05,0.00020593519081217506
2019-07-03,0.00011564578445987861,6.54473441723818e-05,0.00020219139522602492
2019-07-04,0.00010043256747949887,5.6042648515792794e-05,0.00017741394790208513
2019-07-05,0.00012082012994281042,6.928418219916321e-05,0.00021519184342280343
2019-07-06,0.00022510281975708676,0.00012716612878714708,0.00038662660284120376
2019-07-07,0.00010896427920322717,5.919082314604536e-05,0.0001853798482250162
2019-07-08,0.00016104783421885878,9.090463897129368e-05,0.00028776135335375553
2019-07-09,0.00014420103289216292,7.378853729230116e-05,0.0002823390114294818
2019-07-10,0.000251657106352887,0.00014684061706263392,0.0004472370784251379
