ds,y,yhat
2019-04-30,,6.322151131139269e-05
2019-05-01,4.0377124813152316e-05,3.2096035264242426e-05
2019-05-02,4.258074357915097e-05,4.877999249760212e-05
2019-05-03,5.478992379828447e-05,8.022461375928071e-05
2019-05-04,4.200554616874196e-05,2.9883732472230386e-05
2019-05-05,,2.6104369566761057e-05
2019-05-06,7.308578393628504e-05,6.218156320924055e-05
2019-05-07,4.211646940952062e-05,5.730059261608496e-05
2019-05-08,5.9466118409762657e-05,4.572589707504964e-05
2019-05-09,,4.6665907365535336e-05
2019-05-10,3.5263044873589854e-05,2.9834791998589178e-05
2019-05-11,6.166589566575155e-05,5.075205686912722e-05
2019-05-12,6.579327700539979e-05,5.42623069599326e-05
2019-05-13,8.991092014829503e-05,8.750344067321576e-05
2019-05-14,7.699856900614771e-05,6.505205768532388e-05
2019-05-15,5.069322177432199e-05,5.941492456355343e-05
2019-05-16,4.390675053802299e-05,6.765241449868015e-05
2019-05-17,4.121665452431824e-05,3.899661573589722e-05
2019-05-18,7.747734037957638e-05,3.9810844407237444e-05
2019-05-19,3.804611589193098e-05,3.10342543133128e-05
2019-05-20,6.252116220833587e-05,3.074012043017718e-05
2019-05-21,,4.169311415038184e-05
2019-05-22,4.575823478452865e-05,6.1307311509526e-05
2019-05-23,0.00013674423575052403,0.00010800610804018052
2019-05-24,0.00010646303858592032,7.640720237099369e-05
2019-05-25,3.477813128838623e-05,3.8025036308735664e-05
2019-05-26,7.254069476922507e-05,4.673224645603355e-05
2019-05-27,,0.00011489975023953136
2019-05-28,0.00013701925912697197,0.00010891999060019736
2019-05-29,,7.239333953528275e-05
2019-05-30,,4.3263700258039186e-05
2019-05-31,4.518403804467511e-05,8.103469299020359e-05
2019-06-01,7.868161880122372e-05,6.070542417325744e-05
2019-06-02,7.429900835214638e-05,8.554301152447822e-05
2019-06-03,0.00015371452998168319,0.00010197308365413393
2019-06-04,5.078096548342201e-05,4.887696707033951e-05
2019-06-05,1.1227785136259924e-05,4.206586377393431e-05
2019-06-06,,4.5541062145569645e-05
2019-06-07,7.379333090507556e-05,3.976237998065561e-05
2019-06-08,6.478228297454804e-05,6.339805717120476e-05
2019-06-09,5.087514944414417e-05,5.5181436236702115e-05
2019-06-10,,9.982659095624125e-05
2019-06-11,,4.493230454769795e-05
2019-06-12,,6.024448410904892e-05
2019-06-13,,4.660769422003147e-05
2019-06-14,,4.321687614752509e-05
2019-06-15,,2.411289713070483e-05
2019-06-16,,2.6012524560230337e-05
2019-06-17,,5.352136063553398e-05
2019-06-18,,4.219564584089253e-05
2019-06-19,5.338348185676354e-05,5.2054635401863185e-05
2019-06-20,0.00011113305446314791,7.407676353169115e-05
2019-06-21,,6.232053865115906e-05
2019-06-22,0.00016885433441778352,9.150760069308657e-05
2019-06-23,,7.608389754846068e-05
2019-06-24,,5.804238209504909e-05
2019-06-25,4.042992461740966e-05,3.361742994535266e-05
2019-06-26,9.371365696035786e-05,6.854881864752055e-05
2019-06-27,6.944589936904894e-05,5.739838107512364e-05
2019-06-28,,8.801372849084882e-05
2019-06-29,,5.80029830052488e-05
2019-06-30,,3.5925707126783166e-05
2019-07-01,8.684322827494815e-05,7.158232186043138e-05
2019-07-02,,7.269133410823228e-05
2019-07-03,4.432229626296584e-05,7.258756112526907e-05
2019-07-04,9.080923374839497e-05,5.2802248704755975e-05
2019-07-05,6.368615681004478e-05,6.450720974320209e-05
2019-07-06,0.00014981452569617454,0.00012350671913210007
2019-07-07,8.753406363879875e-05,7.773445685753636e-05
2019-07-08,9.547119503250528e-05,0.00011285095782287058
2019-07-09,9.645618921019936e-05,7.665267709151378e-05
2019-07-10,6.711032945409885e-05,0.00013991448743681857
2019-07-11,7.605421989177742e-05,6.285089080485708e-05
2019-07-12,5.6593981436394886e-05,5.941179464714763e-05
2019-07-13,0.00012611252765663854,7.712728319595805e-05
2019-07-14,8.71932133705457e-05,8.763407902442356e-05
2019-07-15,9.953635046325281e-05,0.00013407406838624993
2019-07-16,7.320052142142774e-05,0.00010207033854190693
2019-07-17,4.540838857674057e-05,5.244560423529928e-05
2019-07-18,3.6475323913071914e-05,8.362788389083682e-05
2019-07-19,0.0001962739207216887,9.416413673782868e-05
2019-07-20,,3.986447467292161e-05
2019-07-21,2.3126773157855316e-05,3.0691662655589304e-05
2019-07-22,,5.172171705017531e-05
