ds,y,yhat,yhat_lower,yhat_upper
2019-04-17,8.612400475350627e-05,7.908546862400008e-05,4.640387635570642e-05,0.00013689294495199234
2019-04-18,0.00016967601452094855,9.604172282223787e-05,4.9674371672929676e-05,0.00017978388423316353
2019-04-19,8.953034608453431e-05,6.46741004225094e-05,3.247076678320646e-05,0.00012637396542380467
2019-04-20,7.25006321610658e-05,6.073256239104112e-05,3.462233263288333e-05,0.00010591384156441627
2019-04-21,0.00012114418845063691,7.780009685283422e-05,4.051456860912078e-05,0.0001494663617242765
2019-04-22,0.0001711692859782675,0.00011450315756601823,6.622671070603718e-05,0.00019899200748367977
2019-04-23,0.00022727744470298558,9.583573059204673e-05,5.5106437841377816e-05,0.00016424846594092875
2019-04-24,,7.951826905347406e-05,4.589313699426213e-05,0.00013858003989424453
2019-04-25,,5.430061219216572e-05,3.0217602455902276e-05,9.58322240001323e-05
2019-04-26,,5.742927392058917e-05,3.153808265521826e-05,0.0001042263451393905
2019-04-27,6.044354884940137e-05,6.290407398360804e-05,3.632278790121409e-05,0.00011042376149899035
2019-04-28,7.503548275583698e-05,6.615179298617234e-05,3.8650868624261824e-05,0.0001165692112301014
2019-04-29,3.2305448860878916e-05,0.00010131992365680261,5.755350517703178e-05,0.00017514710180028306
2019-04-30,,8.214598038882933e-05,4.6305597784800906e-05,0.00014089669060114384
2019-05-01,4.4439778029693845e-05,3.87719108604475e-05,2.0048080821139944e-05,7.381970359468115e-05
2019-05-02,,6.798726559206674e-05,3.832345409655727e-05,0.00011804763666432688
2019-05-03,9.467225570406302e-05,0.0001371426133074616,8.009324378134143e-05,0.0002446982758757868
2019-05-04,5.792596029111015e-05,4.485233433472036e-05,2.5167475853634394e-05,7.920389444285078e-05
2019-05-05,,3.413094078190095e-05,1.988695326459022e-05,6.0271763995921404e-05
2019-05-06,0.00013656593403153493,7.902390610052593e-05,4.520647485051819e-05,0.0001366961800230085
2019-05-07,7.512279964197558e-05,7.575710905622144e-05,4.409218312053794e-05,0.00013186059901885655
2019-05-08,9.910592827730778e-05,6.861604728126599e-05,3.996643498348035e-05,0.00011974345026216666
2019-05-09,,7.876272372867626e-05,4.502028949582385e-05,0.00014009376651707888
2019-05-10,4.513956276502566e-05,5.4267358280446524e-05,3.144994445673522e-05,9.52406195085034e-05
2019-05-11,9.496630929938019e-05,7.859569442552282e-05,4.4714575583341486e-05,0.00013553892887647613
2019-05-12,0.00010258528561759768,6.990776841716493e-05,4.0996360944856094e-05,0.00012405668932967024
2019-05-13,0.00013227895591326824,0.00012592043814786487,7.255793333574238e-05,0.00022560254555794887
2019-05-14,0.00011279021593985501,9.800263588601611e-05,5.580266083075136e-05,0.00017159807370219104
2019-05-15,6.027591839554529e-05,9.618030015179862e-05,5.696821623405447e-05,0.00017133415765757545
2019-05-16,6.684581810757881e-05,0.0001204490718649926,7.024139495280248e-05,0.00020792641752089905
2019-05-17,8.34131295827061e-05,7.273672114849682e-05,4.116338965117496e-05,0.0001289936706155088
2019-05-18,0.00010940206331992898,7.830132856579333e-05,4.482178891257278e-05,0.0001348468422349285
2019-05-19,5.410179013080364e-05,5.221760847268199e-05,2.9389250155916326e-05,9.131892538058831e-05
2019-05-20,,5.4127903230250615e-05,2.9745151674229932e-05,9.414022641111921e-05
2019-05-21,,7.42027024813691e-05,4.287018467085877e-05,0.0001345109630186903
2019-05-22,6.160744886417388e-05,0.00010564527641916797,6.123486180483513e-05,0.0001834965137845612
2019-05-23,0.00023773389566103954,0.0002413890283757453,0.00014260873635007728,0.0004422836033091191
2019-05-24,0.00019022132888294697,0.00016831382749782876,9.583179075660767e-05,0.0002953713772088669
2019-05-25,,4.766132149179497e-05,2.244242887606708e-05,0.00010447594036886452
2019-05-26,,7.118324044816046e-05,4.196472569077847e-05,0.0001235698360652691
2019-05-27,,0.000211268534905304,0.00011863446817621304,0.000369915623006613
2019-05-28,0.00021388289071355528,0.00021334064290881967,0.00012152743159512276,0.00036730353648018827
2019-05-29,,0.00013639275260144033,7.735989093195755e-05,0.00023771622376065008
2019-05-30,,9.284666268312357e-05,5.27936413047403e-05,0.00016361149551547528
2019-05-31,0.00010380176615240312,0.00017159986886568823,9.88037515837033e-05,0.00030265294546400395
2019-06-01,0.0001110913578892818,0.0001159786924283128,6.617490011579628e-05,0.00020202726178661815
2019-06-02,0.00013411275769420814,0.0001392054852059313,7.963612941594826e-05,0.0002473112442876386
2019-06-03,0.00022394630153359411,0.00018856154337002745,0.00010874421729508167,0.00032717174294926874
2019-06-04,7.497821797791496e-05,7.966805090430784e-05,4.568769331465907e-05,0.0001385928950228423
2019-06-05,,6.870464168820757e-05,3.871520857859042e-05,0.0001227510699873568
2019-06-06,,9.76742935637438e-05,5.458341120956131e-05,0.00017157344632629142
2019-06-07,0.00010603900209801681,9.114171065102553e-05,5.271393532178261e-05,0.00015593357671943927
2019-06-08,0.00011470285224921974,0.00012136385537070101,6.890051790678055e-05,0.00021982726158911918
