ds,y,precipitaciones,temperatura,es_finde,hora,dia_semana,mes,anio,Año Nuevo (New Year's Day),Día Nacional de la Memoria por la Verdad y la Justicia (Memory's National Day for the Truth and Justice),Día Nacional de la Soberanía (National Sovereignty Day),Día Pase a la Inmortalidad del General D. José de San Martin (Day Pass to the Immortality of General D. José de San Martin),Día Pase a la Inmortalidad del General D. Manuel Belgrano (Day Pass to the Immortality of General D. Manuel Belgrano),Día Pase a la Inmortalidad del General Martín Miguel de Güemes (Day Pass to the Immortality of General Martín Miguel de Güemes),Día de Carnaval (Carnival's Day),Día de Pascuas (Easter Day),Día de la Independencia (Independence Day),Día de la Revolucion de Mayo (May Revolution Day),Día del Respeto a la Diversidad Cultural (Respect for Cultural Diversity Day),Día del Trabajo (Labour Day),Día del Veterano y de los Caidos en la Guerra de Malvinas (Veterans Day and the Fallen in the Malvinas War),La Inmaculada Concepción (Immaculate Conception),Navidad (Christmas),Semana Santa (Jueves Santo)  (Holy day (Holy Thursday)),Semana Santa (Viernes Santo)  (Holy day (Holy Friday)),predicho
2019-01-03 18:00:00+00:00,23991.999999999975,0,23.7,0,18,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23320.632658557697
2019-01-03 19:00:00+00:00,20957.999999999985,0,22.7,0,19,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19021.58179560828
2019-01-03 20:00:00+00:00,19595.99999999987,0,22.0,0,20,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16968.385643420464
2019-01-03 21:00:00+00:00,16680.999999999876,0,21.3,0,21,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11813.310064268248
2019-01-03 22:00:00+00:00,10545.000000000107,0,20.7,0,22,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8551.818710121563
2019-01-03 23:00:00+00:00,8055.999999999971,0,19.9,0,23,3,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6825.100645069115
2019-01-04 00:00:00+00:00,7850.999999999939,0,19.1,0,0,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860.785728525804
2019-01-04 01:00:00+00:00,4284.00000000002,0,20.9,0,1,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537.560090923827
2019-01-04 02:00:00+00:00,2233.999999999999,0,20.5,0,2,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3149.283938271192
2019-01-04 03:00:00+00:00,1603.0000000000198,0,20.3,0,3,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928.3251330053417
2019-01-04 04:00:00+00:00,2417.9999999999823,0,20.0,0,4,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013.247803284959
2019-01-04 05:00:00+00:00,5596.000000000001,0,19.3,0,5,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714.257128749728
2019-01-04 06:00:00+00:00,13490.99999999987,0,18.7,0,6,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13094.541767289267
2019-01-04 07:00:00+00:00,22972.000000000044,0,18.7,0,7,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21046.244590922714
2019-01-04 08:00:00+00:00,25079.000000000306,0,20.5,0,8,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22173.988491367832
2019-01-04 09:00:00+00:00,22229.99999999997,0,22.0,0,9,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21688.95664669615
2019-01-04 10:00:00+00:00,19820.99999999998,0,24.0,0,10,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21583.58188504754
2019-01-04 11:00:00+00:00,20573.000000000025,0,25.5,0,11,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21547.22447722639
2019-01-04 12:00:00+00:00,20490.99999999987,0,26.6,0,12,4,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21622.99607375808
