lon,lat,value
-58.72,-34.56,0
-58.72,-34.55,0
-58.72,-34.54,0
-58.72,-34.53,0
-58.72,-34.52,0
-58.72,-34.51,0
-58.72,-34.5,0
-58.72,-34.49,0
-58.72,-34.48,0
-58.72,-34.47,0
-58.72,-34.46,0
-58.72,-34.45,0
-58.72,-34.44,0
-58.72,-34.43,0
-58.72,-34.42,0
-58.72,-34.41,0
-58.72,-34.4,0
-58.72,-34.39,0
-58.72,-34.38,0
-58.72,-34.37,0
-58.72,-34.36,0
-58.72,-34.35,0
-58.72,-34.34,0
-58.72,-34.33,0
-58.72,-34.32,0
-58.71,-34.93,0
-58.71,-34.92,0
-58.71,-34.91,0
-58.71,-34.9,0
-58.71,-34.89,0
-58.71,-34.88,0
-58.71,-34.87,0
-58.71,-34.86,0
-58.71,-34.85,0
-58.71,-34.84,0
-58.71,-34.83,0
-58.71,-34.82,0
-58.71,-34.81,0
-58.71,-34.8,0
-58.71,-34.79,0
-58.71,-34.78,0
-58.71,-34.77,0
-58.71,-34.76,0
-58.71,-34.75,0
-58.71,-34.74,0
-58.71,-34.73,0
-58.71,-34.72,0
-58.71,-34.71,0
-58.71,-34.7,0
-58.71,-34.69,0
-58.71,-34.68,0
-58.71,-34.67,0
-58.71,-34.66,0
-58.71,-34.65,0
-58.71,-34.64,0
-58.71,-34.63,0
-58.71,-34.62,0
-58.71,-34.61,0
-58.71,-34.6,0
-58.71,-34.59,0
-58.71,-34.58,0
-58.71,-34.57,0
-58.71,-34.56,0
-58.71,-34.55,0
-58.71,-34.54,0
-58.71,-34.53,0
-58.71,-34.52,0
-58.71,-34.51,0
-58.71,-34.5,0
-58.71,-34.49,0
-58.71,-34.48,0
-58.71,-34.47,0
-58.71,-34.46,0
-58.71,-34.45,0
-58.71,-34.44,0
-58.71,-34.43,0
-58.71,-34.42,0
-58.71,-34.41,0
-58.71,-34.4,0
-58.71,-34.39,0
-58.71,-34.38,0
-58.71,-34.37,0
-58.71,-34.36,0
-58.71,-34.35,0
-58.71,-34.34,0
-58.71,-34.33,0
-58.71,-34.32,0
-58.7,-34.93,0
-58.7,-34.92,0
-58.7,-34.91,0
-58.7,-34.9,0
-58.7,-34.89,0
-58.7,-34.88,0
-58.7,-34.87,0
-58.7,-34.86,0
-58.7,-34.85,0
-58.7,-34.84,0
-58.7,-34.83,0
-58.7,-34.82,0
-58.7,-34.81,0
-58.7,-34.8,0
-58.7,-34.79,0
-58.7,-34.78,0
-58.7,-34.77,0
-58.7,-34.76,0
-58.7,-34.75,0
-58.7,-34.74,0
-58.7,-34.73,0
